room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
12331794,1477,41933599,Shared room,,Barcelona,,Eixample,0,0.0,5,1.0,,211.0,,5-bed mixed dorm at Sleep Green Y.H,2017-07-28 14:49:29.434152,41.387023,2.167047,0101000020E6100000C828CFBC1C56014060E63BF889B14440
12331935,1477,41933599,Shared room,,Barcelona,,Eixample,0,0.0,6,1.0,,253.0,,6-bed mixed dorm at Sleep Green Y.H,2017-07-28 14:49:29.431042,41.387658,2.167093,0101000020E6100000CD1FD3DA34560140320400C79EB14440
12332051,1477,41933599,Shared room,,Barcelona,,Eixample,0,0.0,8,1.0,,289.0,,8-bed mixed dorm at ACYHostel,2017-07-28 14:49:29.427665,41.387962,2.165981,0101000020E61000001B0FB6D8ED5301409E0B23BDA8B14440
4627938,1477,23968212,Shared room,,Barcelona,,Eixample,27,4.5,10,1.0,,264.0,,THE HIPSTEL hostel 1 BED IN DORM-10 Shared WC,2017-07-28 14:49:29.424265,41.391617,2.162516,0101000020E6100000289D4830D54C014060C77F8120B24440
12331497,1477,41933599,Shared room,,Barcelona,,Eixample,0,0.0,4,1.0,,169.0,,4-bed mixed dorm at Sleep Green Y.H,2017-07-28 14:49:25.542467,41.386288,2.165477,0101000020E6100000EAEBF99AE55201402B6B9BE271B14440
12018424,1477,64212374,Shared room,,Barcelona,,Sants-Montjuïc,13,4.0,12,1.0,,129.0,,12 Bed Mixed Dorm Ensuite,2017-07-28 14:49:23.585708,41.373268,2.170138,0101000020E61000006D74CE4F715C01405952EE3EC7AF4440
12017913,1477,64212374,Shared room,,Barcelona,,Sants-Montjuïc,11,4.0,12,1.0,,129.0,,12 Bed Mixed Dorm Ensuite,2017-07-28 14:49:23.579837,41.37236,2.169215,0101000020E6100000EDF0D7648D5A0140562B137EA9AF4440
11830051,1477,41807465,Shared room,,Barcelona,,Eixample,9,5.0,2,1.0,,72.0,,HEART OF BARCELONA : BED IN MIXED DORMITORY 2 PERS,2017-07-28 14:49:17.169946,41.391836,2.154014,0101000020E6100000580229B16B3B01409EB29AAE27B24440
16552543,1477,46914366,Shared room,,Barcelona,,Sants-Montjuïc,0,0.0,9,1.0,,73.0,,Cama en dormitorio de 9 camas,2017-07-28 14:49:17.153288,41.373185,2.165882,0101000020E6100000E8F527F1B9530140CB2DAD86C4AF4440
18212084,1477,76384135,Shared room,,Barcelona,,Eixample,10,5.0,2,1.0,,64.0,,DOUBLE SOFA-BED in sunny Barcelona,2017-07-28 14:49:17.147198,41.387623,2.148761,0101000020E6100000AF5C6F9BA9300140B51666A19DB14440
1823947,1477,9547606,Shared room,,Barcelona,,Sants-Montjuïc,67,4.0,16,1.0,,45.0,,Hostal esta 150 m del Camp Nou wifi,2017-07-28 14:49:12.852812,41.378011,2.129361,0101000020E6100000D905836BEE0801409E4319AA62B04440
17513179,1477,41092915,Shared room,,Barcelona,,Ciutat Vella,9,5.0,2,1.0,,60.0,,One bedroom flat by the sea,2017-07-28 14:49:12.837944,41.379429,2.190939,0101000020E6100000603FC4060B870140B613252191B04440
7965130,1477,41807465,Shared room,,Barcelona,,Eixample,6,4.5,8,1.0,,289.0,,PRIVATE ROOM FOR 8 PERSONS IN HEART OF BARCELONA !,2017-07-28 14:49:08.666215,41.392055,2.154293,0101000020E61000008A03E8F7FD3B0140DC9DB5DB2EB24440
7965883,1477,41807465,Shared room,,Barcelona,,Eixample,4,4.0,6,1.0,,193.0,,ENTIRE ROOM IN HEART OF BARCELONA FOR 6 PERSONS !,2017-07-28 14:49:07.130490,41.392044,2.153721,0101000020E6100000D6AA5D13D23A0140E84B6F7F2EB24440
9111304,1477,2395550,Shared room,,Barcelona,,Sant Martí,5,4.5,2,1.0,,133.0,,Nice appartment for rent ;),2017-07-28 14:49:03.977842,41.407673,2.202132,0101000020E6100000F3CCCB61F79D01402A3BFDA02EB44440
7086254,1477,37143874,Shared room,,Barcelona,,Sants-Montjuïc,0,0.0,4,1.0,,133.0,,"alq.piso con terraza,acept mascotas",2017-07-28 14:49:03.974822,41.373105,2.163923,0101000020E6100000677FA0DCB64F0140AF7C96E7C1AF4440
7968315,1477,41807465,Shared room,,Barcelona,,Eixample,20,4.0,4,1.0,,144.0,,NICE PRIVATE ROOM IN HEART OF BARCELONA FOR 4 PERS,2017-07-28 14:49:03.971056,41.393532,2.152668,0101000020E6100000732A1900AA380140F9F6AE415FB24440
12033127,1477,64212374,Shared room,,Barcelona,,Sants-Montjuïc,8,4.0,4,1.0,,114.0,,4 Bed Mixed Dorm Ensuite,2017-07-28 14:49:01.879645,41.372717,2.169144,0101000020E61000005A84622B685A0140E5D4CE30B5AF4440
12032919,1477,64212374,Shared room,,Barcelona,,Sants-Montjuïc,6,4.0,6,1.0,,114.0,,6 Bed Mixed Dorm Ensuite,2017-07-28 14:49:01.876339,41.372255,2.168686,0101000020E61000002E58AA0B78590140E162450DA6AF4440
